
cell_type	feature	quantile	value
H9	H3K27ac.RPM	0.5	0.493013
H9	H3K27ac.RPM	0.6	0.576537
H9	H3K27ac.RPM	0.7	0.68424
H9	H3K27ac.RPM	0.75	0.753037
H9	H3K27ac.RPM	0.85	0.966794
H9	H3K27ac.RPM	0.9	1.168241
H9	H3K27ac.RPM	0.95	1.666201
H9	H3K27ac.RPM.expandedRegion	0.1	0.318161
H9	H3K27ac.RPM.expandedRegion	0.25	0.454108
H9	H3K27ac.RPM.expandedRegion	0.3	0.493013
H9	H3K27ac.RPM.expandedRegion	0.35	0.530269
H9	H3K27ac.RPM.expandedRegion	0.4	0.569174
H9	H3K27ac.RPM.expandedRegion	0.5	0.652698
H9	H3K27ac.RPM.expandedRegion	0.6	0.748531
H9	H3K27ac.RPM.expandedRegion	0.7	0.87096
H9	H3K27ac.RPM.expandedRegion	0.75	0.951627
H9	H3K27ac.RPM.expandedRegion	0.85	1.204289
H9	H3K27ac.RPM.expandedRegion	0.9	1.459807
H9	H3K27ac.RPM.expandedRegion	0.95	2.106791
HCT116	CTCF.RPM	0.1	0.129058
HCT116	CTCF.RPM	0.25	0.188509
HCT116	CTCF.RPM	0.3	0.211298
HCT116	CTCF.RPM	0.35	0.22963
HCT116	CTCF.RPM	0.4	0.258116
HCT116	CTCF.RPM	0.5	0.323265
HCT116	CTCF.RPM	0.6	0.482048
HCT116	CTCF.RPM	0.7	1.162761
HCT116	CTCF.RPM	0.75	1.874438
HCT116	CTCF.RPM	0.85	4.111278
HCT116	CTCF.RPM	0.9	5.4936616
HCT116	CTCF.RPM	0.95	7.1197956
HCT116	DHS.RPM	0.1	0.253689
HCT116	DHS.RPM	0.25	0.316008
HCT116	DHS.RPM	0.3	0.345772
HCT116	DHS.RPM	0.35	0.386928
HCT116	DHS.RPM	0.4	0.443664
HCT116	DHS.RPM	0.5	0.599461
HCT116	DHS.RPM	0.6	0.865893800000001
HCT116	DHS.RPM	0.7	1.301228
HCT116	DHS.RPM	0.75	1.621424
HCT116	DHS.RPM	0.85	2.6645046
HCT116	DHS.RPM	0.9	3.750227
HCT116	DHS.RPM	0.95	6.31938919999999
HCT116	H3K27ac.RPM	0.1	0.081027
HCT116	H3K27ac.RPM	0.25	0.143614
HCT116	H3K27ac.RPM	0.3	0.165023
HCT116	H3K27ac.RPM	0.35	0.186432
HCT116	H3K27ac.RPM	0.4	0.21081
HCT116	H3K27ac.RPM	0.5	0.267459
HCT116	H3K27ac.RPM	0.6	0.348486
HCT116	H3K27ac.RPM	0.7	0.486161
HCT116	H3K27ac.RPM	0.75	0.614304
HCT116	H3K27ac.RPM	0.85	1.2710506
HCT116	H3K27ac.RPM	0.9	2.3170228
HCT116	H3K27ac.RPM	0.95	5.33528379999999
HCT116	H3K27ac.RPM.expandedRegion	0.1	0.136034
HCT116	H3K27ac.RPM.expandedRegion	0.25	0.22464
HCT116	H3K27ac.RPM.expandedRegion	0.3	0.253629
HCT116	H3K27ac.RPM.expandedRegion	0.35	0.284258
HCT116	H3K27ac.RPM.expandedRegion	0.4	0.316216
HCT116	H3K27ac.RPM.expandedRegion	0.5	0.392632
HCT116	H3K27ac.RPM.expandedRegion	0.6	0.502648
HCT116	H3K27ac.RPM.expandedRegion	0.7	0.69369
HCT116	H3K27ac.RPM.expandedRegion	0.75	0.870902
HCT116	H3K27ac.RPM.expandedRegion	0.85	1.775714
HCT116	H3K27ac.RPM.expandedRegion	0.9	3.216772
HCT116	H3K27ac.RPM.expandedRegion	0.95	7.4105234
Jurkat	CTCF.RPM	0.1	0.114952
Jurkat	CTCF.RPM	0.25	0.172428
Jurkat	CTCF.RPM	0.3	0.229905
Jurkat	CTCF.RPM	0.35	0.229905
Jurkat	CTCF.RPM	0.4	0.287381
Jurkat	CTCF.RPM	0.5	0.344857
Jurkat	CTCF.RPM	0.6	0.402333
Jurkat	CTCF.RPM	0.7	0.574762
Jurkat	CTCF.RPM	0.75	0.689714
Jurkat	CTCF.RPM	0.85	1.264476
Jurkat	CTCF.RPM	0.9	1.95419
Jurkat	CTCF.RPM	0.95	2.816332
Jurkat	DHS.RPM	0.1	0.342117
Jurkat	DHS.RPM	0.25	0.442589
Jurkat	DHS.RPM	0.3	0.486601
Jurkat	DHS.RPM	0.35	0.54223
